id,first,last,ssn,dob
81,Kevin,Cunningham,527223668,1988-09-04
82,Eugene,Harper,310843337,1974-04-08
83,Bonnie,Montgomery,245856300,1979-02-15
84,Timothy,Howard,580006513,1977-08-05
85,Diana,Wilson,067792891,1972-02-25
86,Diana,Stewart,655287072,1953-07-30
87,Janice,Banks,340182809,1941-10-26
88,Carl,Stephens,656082931,1970-10-30
89,Sarah,Wright,652407344,1974-01-07
90,Raymond,Olson,527355415,1986-02-07
91,Ashley,Stevens,938999933,1960-02-28
92,Kenneth,Allen,169805063,1973-07-08
93,Wanda,Bailey,108507107,1987-12-26
94,Shawn,Lawson,280599072,1967-08-24
95,Daniel,Ruiz,446197060,1981-12-31
96,Alan,Chavez,595393456,1961-03-23
97,Kevin,Kennedy,348756455,1987-03-22
98,Bruce,Turner,196851589,1960-10-16
99,Benjamin,Hicks,987160712,1991-11-22
100,Joshua,Torres,855505151,1974-08-05
101,Terry,Rodriguez,781034195,1978-12-15
102,Randy,Murphy,882888257,1978-04-19
103,Daniel,James,000055473,1972-02-29
104,Sarah,Harrison,526564122,1959-06-11
105,Todd,Greene,113580066,1941-12-31
106,Julie,Welch,519454035,1999-01-20
107,Irene,Parker,853709551,1947-08-23
108,Betty,James,384863909,1974-06-30
109,Harold,Black,334461022,1989-04-27
110,Cynthia,Elliott,038534993,1985-04-12
111,Sandra,Torres,354925786,1987-01-29
112,Eric,Little,100103448,1993-03-14
113,Carl,Hicks,781410596,1995-05-03
114,Robert,Hamilton,067614640,1958-02-28
115,Nancy,Moreno,712431894,1964-07-16
116,Anne,Patterson,682144682,1990-01-31
117,Catherine,Shaw,615623345,1989-07-20
118,Jeremy,Ellis,544442314,1946-09-28
119,Roy,Fisher,876458315,1973-12-26
120,Carl,Jordan,794941549,1949-12-23
121,Kimberly,Harper,749022672,1974-07-07
122,Jane,Rose,957683242,1940-08-07
123,Christine,Roberts,821092730,1970-01-08
124,Jessica,Owens,049638992,1949-02-14
125,Rebecca,Bishop,120124065,1983-06-03
126,Gloria,Bryant,692963099,1948-01-05
127,Dorothy,Woods,825351978,1972-07-10
128,Wanda,Berry,852873775,1955-10-28
129,Phyllis,Ferguson,769886201,1969-12-22
130,Roy,Andrews,674987457,1995-07-24
131,Walter,Roberts,635946772,1992-11-03
132,Thomas,West,289680491,1991-01-12
133,Douglas,Jordan,142860961,1958-12-10
